outlet,url,fetch_status,parse_error,discovery_channels
pravda,https://www.pravda.com.ua/news/2023/05/12/7401882/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401896/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401904/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401906/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401916/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401929/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401971/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401978/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/12/7401982/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7401995/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402000/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402026/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402052/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402055/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402069/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402070/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402077/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/13/7402084/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/14/7402091/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/14/7402092/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/14/7402099/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/14/7402106/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402220/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402251/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402255/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402257/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402260/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402268/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402291/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/15/7402294/,429,,day_archive
