id,url,period,rubric
6ae3421585a161e5,https://www.ukrinform.ua/rubric-ato/3747606-malar-prokomentuvala-situaciu-na-livomu-berezi-hersonsini-privodiv-dla-aziotazu-nemae.html,P0,rubric-ato
99d5be89351a6e65,https://www.ukrinform.ua/rubric-ato/3750261-komanduvac-nacgvardii-oznajomivsa-iz-pidgotovkou-ukrainskih-bijciv-u-britanii.html,P0,rubric-ato
59ee0bb14e9f9df5,https://www.ukrinform.ua/rubric-ato/3756424-na-sumsini-pid-obstril-potrapili-policejski-aki-dokumentuvali-naslidki-poperednoi-ataki.html,P0,rubric-ato
14053dd3bd67226e,https://www.ukrinform.ua/rubric-ato/3759682-sili-oboroni-uze-zvilnili-49-kvadratnih-kilometriv-na-bahmutskomu-napramku-malar.html,P0,rubric-ato
a1722015d834db58,https://www.ukrinform.ua/rubric-ato/3761966-stan-kadirova-ne-vpline-na-bojovi-dii-v-ukraini-ekspert.html,P0,rubric-ato
ebea239faadce1b7,https://www.ukrinform.ua/rubric-ato/3765739-demcenko-rozpoviv-skilki-vagnerivciv-zalisilosa-v-bilorusi.html,P0,rubric-ato
d0388e4ae08a12d8,https://www.ukrinform.ua/rubric-ato/3766175-u-hersoni-vnaslidok-rankovogo-obstrilu-rf-poraneni-dvi-ludini.html,P0,rubric-ato
1d176bc6183227f0,https://www.ukrinform.ua/rubric-ato/3766822-vorog-namagaetsa-vidbiti-pozicii-bila-klisiivki-ta-andriivki-trimaemo-oboronu-zsu.html,P0,rubric-ato
9eabc67ff8b335d3,https://www.ukrinform.ua/rubric-ato/3767624-ukraina-vikrila-verhivku-specsluzb-rf-pricetnih-do-diversij-na-vijskovih-skladah-na-lugansini-ta-u-cehii.html,P0,rubric-ato
bbecf67c857fdaed,https://www.ukrinform.ua/rubric-ato/3768260-glava-mincifri-pokazav-ak-vigladae-ukrainskij-bojovij-robot-lut.html,P0,rubric-ato
dd0eec396fd8e7b8,https://www.ukrinform.ua/rubric-ato/3773838-armia-rf-za-dobu-vipustila-po-pivdnu-ukraini-30-kerovanih-aviabomb-gumenuk.html,P0,rubric-ato
9d997025e99f3cff,https://www.ukrinform.ua/rubric-ato/3786822-ukrainski-artileristi-znisili-stanciu-reb-ta-kompleks-muromm-rosian.html,P1,rubric-ato
afe133610407a1e5,https://www.ukrinform.ua/rubric-ato/3789218-dva-postrili-gvozdiki-j-vorozu-pihotu-zniseno.html,P1,rubric-ato
66b7e04a12ed7ae3,https://www.ukrinform.ua/rubric-ato/3793438-na-pivdni-himars-usent-roznis-rosijsku-komandnostabnu-masinu.html,P1,rubric-ato
f3c20ffbefa8b4b0,https://www.ukrinform.ua/rubric-ato/3796935-ukrainski-fahivci-vivcaut-zbiti-modifikovani-bezpilotniki-rosian-ignat.html,P1,rubric-ato
fb63997b3b6f24dd,https://www.ukrinform.ua/rubric-ato/3800611-vorog-obstrilav-dniprovskij-rajon-hersona-e-poraneni.html,P1,rubric-ato
4bedaf1c0688458e,https://www.ukrinform.ua/rubric-ato/3803552-nimeccina-z-pocatku-vijni-nadala-ukraini-vijskovu-dopomogu-na-majze-6-milardiv.html,P1,rubric-ato
